post_id,title,category,score,num_comments,author,collected_at
49491568,"Good Culture Is the Biggest Productivity Hack, Not AI",technology,353,80,gpi,2026-08-30 12:45:40.002157
49495845,The Internet Archive's Vintage AI Collection,technology,9,1,OuterVale,2026-08-30 12:45:43.684565
49486081,"StemDeck, a free, open-source and local AI stem separator",technology,218,61,thclpr,2026-08-30 12:45:44.956682
49485416,I accidentally turned LLM memory into program analysis,technology,285,77,matt_d,2026-08-30 12:45:46.261680
49479072,Verschlimmbesserung: The Word Your Software Updates Need,technology,173,114,speckx,2026-08-30 12:46:00.597496
49492798,Redesigning the Inference Chip: From Nvidia GPU's Flaws to OpenAI Jalapeño,technology,5,0,hasheddan,2026-08-30 12:46:19.761630
49475079,Luanti removed from Google Play due to baseless AI copyright notice,technology,517,151,miniBill,2026-08-30 12:46:23.755988
49415923,Sloc Cloc and Code 4.0 (scc) – Finding the files that need the most attention,technology,45,12,boyter,2026-08-30 12:46:30.240239
49489982,"Debian votes to allow ""responsible use of generative AI""",technology,478,446,pluc,2026-08-30 12:46:31.552705
49484925,Identifying fake cosmetics using AI,technology,59,25,wgrover,2026-08-30 12:46:35.457741
49491541,Is the LLM smart or are you not?,technology,6,0,speckx,2026-08-30 12:46:36.751540
49472820,Terminal-Bench-Science: Evaluating AI agents on scientific research workflows,technology,117,36,matt_d,2026-08-30 12:46:38.657862
49474786,Sovereign Tech Agency invests €500k in Flatpak,technology,268,136,eigenspace,2026-08-30 12:46:43.158331
49458875,Humanity has the debate about AI consciousness backwards,technology,116,375,semiquaver,2026-08-30 12:46:48.973334
49464314,"MIT's Ad Hoc Committee on AI Use in Teaching, Learning, and Research Training",technology,143,83,pbui,2026-08-30 12:46:49.655585
49458418,CEO fired developers to make room for AI. Developers create open source AI CEO,technology,1023,713,GrumpySciGuy,2026-08-30 12:46:53.525331
49466715,Launch HN: Salem Robotics (YC S26) – Software for industrial inspection robots,technology,49,31,Salem_robotics,2026-08-30 12:46:57.434355
49450898,It’s so hard to finish an idea that is not yours and is just suggested by AI,technology,260,188,zazuke,2026-08-30 12:46:59.448909
49447057,The turbulent AI era is here,technology,351,615,nanna,2026-08-30 12:47:06.035338
49451495,Launch HN: Risklytics (YC S26) – Insurance brokerage for frontier tech companies,technology,54,24,AlexRisio,2026-08-30 12:47:09.310335
49452990,"Tailcat – Like netcat, but over Tailscale’s data plane",technology,662,129,nderjung,2026-08-30 12:47:15.249531
49495009,Meta Project OT plan to replace employees with AI agents,technology,12,7,elboru,2026-08-30 12:47:25.558530
49477311,AI Agent Has Root,technology,42,68,lowcache,2026-08-30 12:47:26.858963
49492591,"The new Go JSON API: twice as fast, or 1.5x slower?",technology,6,0,ingve,2026-08-30 12:47:39.150224
49436886,The ArtQrCode a twist on the classic black and white Quick Response Code,technology,11,2,Bluestein,2026-08-30 12:47:39.797097
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,49,8,mooreds,2026-08-30 12:47:41.798309
49495171,No Country for Mediocre Mathematicians,worldnews,22,6,reasonableklout,2026-08-30 12:47:41.798806
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,75,29,EndXA,2026-08-30 12:47:41.799132
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,277,158,robtherobber,2026-08-30 12:47:41.800011
49444232,Harvest (IBM 7950): Supercomputer for cryptanalysis at the NSA in the Cold War,worldnews,100,25,jnord,2026-08-30 12:47:57.534401
49422227,Characterizing Agentic Flooding of Government Services,worldnews,81,87,lensecat,2026-08-30 12:49:06.070652
49494936,President Trump Signs Executive Order to Create US Space Academy,worldnews,7,3,efavdb,2026-08-30 12:49:35.574284
49475404,"Climate change is strengthening El Niño, coral records suggest",worldnews,121,123,shymaple,2026-08-30 12:49:36.225673
49454366,Six government passport CAs that Python rejects and OpenSSL accepts,worldnews,18,6,Eginn-33,2026-08-30 12:50:10.437688
49435495,"Otto Dix, Nietzsche, and the Great War (2019)",worldnews,42,28,samizdis,2026-08-30 12:50:35.433137
49466006,Decompiling a Nintendo 64 game in 84 days,sports,268,180,knackers,2026-08-30 12:50:58.248909
49422784,The entire city of San Francisco as a video game,sports,610,172,centrosphere,2026-08-30 12:50:58.249814
49490870,Nancy Grace Roman Space Telescope,science,181,69,JumpCrisscross,2026-08-30 12:51:00.253597
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",science,115,34,guillaumec,2026-08-30 12:51:00.254117
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,68,75,bilsbie,2026-08-30 12:51:00.254338
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,117,40,stephenchung,2026-08-30 12:51:00.254479
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,30,3,HexLasso,2026-08-30 12:51:00.255542
49489564,"Study links listening to live metal improves tolerance for pain, cold",science,6,1,HieronymusBosch,2026-08-30 12:51:00.257407
49466989,Why HPSC Is a Big Deal for Space Exploration,science,27,8,mooreds,2026-08-30 12:51:00.258061
49420530,Peppermint oil reduces blood pressure by 8.48 mmHg in small study,science,230,108,brandonb,2026-08-30 12:51:00.258128
49467699,Compromising Signal's Contact Discovery Enclave (SGX),science,12,4,RobLach,2026-08-30 12:51:00.258897
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,51,36,gbin,2026-08-30 12:51:02.261428
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,105,29,andrewww-dev,2026-08-30 12:51:02.261809
49491755,Show HN: Flint – A minimal C/C++ package manager and build tool written in C,entertainment,11,1,mbhatt99,2026-08-30 12:51:02.262611
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,73,51,IbrahimF96,2026-08-30 12:51:02.262706
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,61,83,d0mkaaa,2026-08-30 12:51:02.262814
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,682,321,Labo333,2026-08-30 12:51:02.262978
49491968,Show HN: PhpEZ – A tiny PHP framework for shared LAMP hosting,entertainment,7,2,qcfe,2026-08-30 12:51:02.263131
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,222,57,elyosh,2026-08-30 12:51:02.263443
49489682,"Show HN: The impact that made the Moon, 262k particles in a browser tab",entertainment,6,3,gaploid,2026-08-30 12:51:02.263891
49466704,"Show HN: Watches user sessions, finds bugs that matter, and fixes them",entertainment,38,11,aray07,2026-08-30 12:51:02.263920
49471407,Show HN: We built open OpenRouter that turns usage into a better model,entertainment,216,46,SilenN,2026-08-30 12:51:02.264053
49488996,Show HN: Qwiksi a CLI tool for adding your signature to a PDFs,entertainment,8,0,krisraven,2026-08-30 12:51:02.264226
49452037,Show HN: Build your own theme park,entertainment,56,25,thealexanderlee,2026-08-30 12:51:02.264391
49483436,Show HN: Hacker News Client with Claude Code and Codex Integration,entertainment,10,0,kamranahmedse,2026-08-30 12:51:02.264706
49450816,"Show HN: A lightweight, stateless database for agent memory",entertainment,35,12,anuptalwalkar,2026-08-30 12:51:02.264730
49468816,Show HN: Voronoi Go,entertainment,155,26,igpay,2026-08-30 12:51:02.264784
49481956,Show HN: Blast – Open-source sandbox-as-a-service,entertainment,10,0,calebhwin,2026-08-30 12:51:02.264835
